sample,cell type
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 060hr, biol_rep2.CNhs13775.13404-144B2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 060hr, biol_rep3.CNhs13776.13405-144B3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 066hr, biol_rep1.CNhs13777.13406-144B4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 066hr, biol_rep2.CNhs13778.13407-144B5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 066hr, biol_rep3.CNhs13779.13408-144B6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 072hr, biol_rep1.CNhs13780.13409-144B7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 072hr, biol_rep2.CNhs13781.13410-144B8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 072hr, biol_rep3.CNhs13782.13411-144B9",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 084hr, biol_rep1.CNhs13783.13412-144C1",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 084hr, biol_rep2.CNhs13784.13413-144C2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 084hr, biol_rep3.CNhs13786.13414-144C3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 096hr, biol_rep1.CNhs13787.13415-144C4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 096hr, biol_rep2.CNhs13788.13416-144C5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 096hr, biol_rep3.CNhs13789.13417-144C6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 120hr, biol_rep1.CNhs13790.13418-144C7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 120hr, biol_rep2.CNhs13791.13419-144C8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 120hr, biol_rep3.CNhs13792.13420-144C9",tracheal epithelial cell
"urinary bladder, adult.CNhs10481.879-12E4",urinary bladder
"uterus, adult pregnant day19.CNhs10497.590-15F5",uterus
"uterus, adult.CNhs10509.92-27E5",uterus
"vagina, adult.CNhs10502.89-27D5",vagina
"vesicular gland, adult.CNhs10491.51-27F8",vesicular gland
"visual cortex - Mecp knockout, neonate N15, donor1.CNhs13040.10244-104B1",visual cortex
"visual cortex - Mecp knockout, neonate N15, donor2.CNhs13041.10245-104B2",visual cortex
"visual cortex - Mecp knockout, neonate N15, donor3.CNhs13821.10350-105D8",visual cortex
"visual cortex - Mecp knockout, neonate N30, donor1.CNhs13042.10246-104B3",visual cortex
"visual cortex - Mecp knockout, neonate N30, donor2.CNhs13043.10247-104B4",visual cortex
"visual cortex - Mecp knockout, neonate N30, donor3.CNhs13044.10248-104B5",visual cortex
"visual cortex - Mecp knockout, neonate N60-70, donor1.CNhs13045.10249-104B6",visual cortex
"visual cortex - Mecp knockout, neonate N60-70, donor2.CNhs13046.10250-104B7",visual cortex
"visual cortex - Mecp knockout, neonate N60-70, donor3.CNhs13048.10251-104B8",visual cortex
"visual cortex - wildtype, neonate N15, donor1.CNhs13031.10235-104A1",visual cortex
"visual cortex - wildtype, neonate N15, donor2.CNhs13032.10236-104A2",visual cortex
"visual cortex - wildtype, neonate N15, donor3.CNhs13033.10237-104A3",visual cortex
"visual cortex - wildtype, neonate N15, donor5.CNhs13820.10349-105D7",visual cortex
"visual cortex - wildtype, neonate N30, donor1.CNhs13034.10238-104A4",visual cortex
"visual cortex - wildtype, neonate N30, donor2.CNhs13035.10239-104A5",visual cortex
"visual cortex - wildtype, neonate N30, donor3.CNhs13036.10240-104A6",visual cortex
"visual cortex - wildtype, neonate N60-70, donor1.CNhs13037.10241-104A7",visual cortex
"visual cortex - wildtype, neonate N60-70, donor2.CNhs13038.10242-104A8",visual cortex
"visual cortex - wildtype, neonate N60-70, donor3.CNhs13039.10243-104A9",visual cortex
